Lokalizacja,Autor,Ocena,Data,Kategoria,Tresc,ReviewID
Carsed Siedlce,Anna Kowalska,5,10.01.2026 09:15,Karol Lipiecki,"Serdecznie polecam serwis CARSED. Obsługiwał mnie Pan Karol Lipiecki i muszę powiedzieć, że rzadko spotyka się tak zaangażowanego doradcę. Wszystko wytłumaczone krok po kroku, żadnych niespodzianek na fakturze. Wrócę na pewno.",
Carsed Siedlce,Tomasz Wiśniewski,5,22.01.2026 14:30,Karol Lipiecki,"Wizyta w serwisie minęła bardzo sprawnie. Z Karolem Lipieckim rozmawiałem już przez telefon i od razu zrobił dobre wrażenie – konkretny, bez owijania w bawełnę. Na miejscu tak samo. Profesjonalizm na każdym kroku.",
Carsed Siedlce,Marta Zielińska,4,05.02.2026 11:10,Karol Lipiecki,"Generalnie miłe doświadczenie. Lipiecki od razu wiedział o co chodzi z moim autem i skierował mnie do właściwego mechanika. Drobne opóźnienie przy odbiorze, stąd 4 gwiazdki zamiast 5, ale obsługa bez zarzutu.",
Carsed Siedlce,Piotr Jabłoński,5,18.02.2026 16:45,Karol Lipiecki,"Polecam Pana Lipieckiego wszystkim właścicielom Seatów i Cupry w okolicy. Czwarty raz z rzędu obsługuje moje auto i za każdym razem wychodzę w pełni usatysfakcjonowany. To człowiek, który naprawdę zna się na swojej robocie.",
Carsed Siedlce,Katarzyna Nowak,5,01.03.2026 10:00,Emil Marczuk,"Pierwszy raz korzystałam z CARSED i trafiłam na Emila Marczuka. Miła niespodzianka – Pan Emil od razu zapytał co dokładnie mi przeszkadza w aucie, zrobił oględziny wstępne i ustalił realistyczny termin. Bardzo sprawna obsługa.",
Carsed Siedlce,Grzegorz Lewandowski,5,08.03.2026 08:30,Emil Marczuk,Rozmawiałem z Emilem Marczukiem w sprawie wymiany sprzęgła w moim Leonie. Wycena była uczciwa i zgodna z tym co dostałem potem na fakturze. Nie ma tu żadnych ukrytych kosztów. Polecam Pana Marczuka z pełnym przekonaniem.,
Carsed Siedlce,Zofia Wróblewska,5,14.03.2026 13:20,Emil Marczuk,"Samochód zostawiłam z Emilem Marczukiem rano, a wieczorem wszystko było gotowe. Pan Marczuk dzwonił na bieżąco z aktualizacjami – nie musiałam dzwonić sama żeby się dowiedzieć co słychać z autem. Właśnie tak powinna wyglądać obsługa klienta.",
Carsed Siedlce,Marcin Kobus,4,20.03.2026 17:55,Emil Marczuk,"Dobry kontakt z Marczukiem, szybka diagnoza. Jedyny minus to czas oczekiwania na część zamienny, ale to nie wina serwisu. Sama robocizna i komunikacja bez zarzutu. Na pewno wrócę.",
Carsed Siedlce,Iwona Szymańska,5,27.03.2026 12:00,Emil Marczuk,"Polecam Emila Marczuka jako doradcę serwisowego. Pierwszy raz spotkałam kogoś w warsztacie, kto potrafi wytłumaczyć usterkę językiem zrozumiałym dla osoby nieznającej się na mechanice. Wielki plus dla całego zespołu.",
Škoda - CARSED Siedlce,Rafał Kwiatkowski,5,12.01.2026 10:30,Maciej Rostek,Zakupiłem Skodę Octavię z pomocą Pana Macieja Rostka i nie mógłbym być bardziej zadowolony. Maciej Rostek podszedł do sprawy indywidualnie – nie próbował wciskać mi czegoś czego nie potrzebowałem. Transakcja przebiegła sprawnie i uczciwie.,
Škoda - CARSED Siedlce,Beata Majewska,5,25.01.2026 15:00,Maciej Rostek,"Rozmawiałam z Maciejem Rostkiem o leasingu nowej Fabii. Pan Maciej cierpliwie odpowiedział na wszystkie moje pytania, porównał kilka opcji finansowania i nie wywierał żadnej presji. Ostatecznie zdecydowałam się na zakup i jestem bardzo zadowolona.",
Škoda - CARSED Siedlce,Łukasz Dąbrowski,5,07.02.2026 09:45,Ogólne,"Polecam współpracę z Rostkiem – wie co sprzedaje i mówi wprost. Żadnego marketingowego bełkotu, żadnego nacisku. Dostałem uczciwy opis plusów i minusów każdej wersji wyposażenia. Rzadkość w branży motoryzacyjnej.",
Škoda - CARSED Siedlce,Sylwia Grabowska,4,15.02.2026 11:30,Maciej Rostek,"Dobra obsługa ze strony Macieja Rostka. Trochę się przeciągnęło z przygotowaniem dokumentów, stąd 4 gwiazdki, ale sam kontakt z Panem Maciejem był bardzo pozytywny. Polecam.",
Škoda - CARSED Siedlce,Krzysztof Olszewski,5,28.02.2026 14:15,Maciej Rostek,Polecam Pana Macieja Rostka każdemu kto szuka Skody. Trzecia osoba z rodziny kupuje u niego auto i za każdym razem ten sam wysoki standard. Zna się na rzeczy i nigdy nie zawodzi.,
Škoda - CARSED Siedlce,Monika Witek,5,11.03.2026 16:00,Karol Lipiecki,"Z Maciejem Rostkiem kontaktowałam się przez kilka tygodni zanim podjęłam decyzję o zakupie. Przez cały ten czas był cierpliwy, dostępny i pomocny. Ostatecznie kupiłam Skodę Karoq i jestem bardzo szczęśliwa z wyboru.",
Škoda - CARSED Siedlce,Daniel Mazur,5,19.03.2026 10:00,Jan Cielemęcki,"Miałem przyjemność pracować z Panem Janem Cielemęckim przy zakupie Skody Superb. Pan Jan to prawdziwy profesjonalista – szczegółowo omówił każdą opcję, pomógł wybrać odpowiednie wyposażenie i sprawnie przeprowadził przez wszystkie formalności.",
Škoda - CARSED Siedlce,Agnieszka Pawlak,5,26.03.2026 09:00,Jan Cielemęcki,"Rozmawiałam z Janem Cielemęckim w sprawie finansowania nowego samochodu. Cielemęcki znalazł dla mnie naprawdę korzystną ofertę leasingową i wytłumaczył wszystko tak, że w końcu rozumiałam co podpisuję. Ogromne podziękowania!",
Škoda - CARSED Siedlce,Marek Wierzbicki,5,02.04.2026 11:45,Jan Cielemęcki,"Polecam Pana Cielemęckiego – miły, kompetentny i co ważne, szczery. Gdy powiedziałem czego szukam i jaki mam budżet, od razu zaproponował sensowne rozwiązania zamiast próbować podbijać kwotę. Rzadko spotykana postawa w salonie.",
Škoda - CARSED Siedlce,Natalia Krawczyk,5,09.04.2026 14:30,Jan Cielemęcki,"Zakup Skody Kodiaqa to był mój pierwszy nowy samochód i stresowałam się trochę całą procedurą. Pan Jan Cielemęcki rozwiał wszystkie moje obawy, był dostępny nawet po godzinach i dopilnował żeby wszystko było gotowe na czas. Dziękuję!",
Škoda - CARSED Siedlce,Paweł Stachura,4,16.04.2026 13:00,Jan Cielemęcki,"Dobra obsługa ze strony Jana Cielemęckiego. Auto trafiło do mnie z tygodniowym opóźnieniem w stosunku do deklarowanego terminu, ale Pan Jan na bieżąco informował o sytuacji i w ramach rekompensaty załatwił dodatkowe akcesoria. Uczciwe podejście.",
Carsed Siedlce,Bartłomiej Kacprzak,5,23.04.2026 09:30,Emil Marczuk,"Byłem w CARSED na wymianie opon i drobnym przeglądzie. Auto przyjął Emil Marczuk. Konkretna rozmowa, bez zbędnego przeciągania. Wszystko gotowe w deklarowanym czasie. Będę wracał.",
Carsed Siedlce,Dominika Wróbel,5,30.04.2026 15:15,Karol Lipiecki,"Karol Lipiecki to według mnie wzór doradcy serwisowego. Zawsze pamiętam moje auto, pyta o poprzednie usterki i doradza co warto sprawdzić przy okazji wizyty. Dzięki temu oszczędzam czas i pieniądze. Gorąco polecam.",
Carsed Siedlce,Sebastian Kowalczyk,3,05.05.2026 10:45,Karol Lipiecki,"Ogólnie poprawna wizyta. Sam serwis wykonany dobrze, ale czas oczekiwania był dłuższy niż zapowiadano. Lipiecki starał się wyjaśnić opóźnienie i przeprosił, co doceniam. Wróciłbym, ale spodziewałbym się lepszej punktualności.",
Carsed Siedlce,Alicja Kamińska,5,12.05.2026 12:30,Emil Marczuk,"Polecam z całego serca. Trafiłam na Emila Marczuka przypadkowo i to był strzał w dziesiątkę. Rozwiązał problem z klimatyzacją, który inny serwis bagatelizował przez rok. Rzetelna diagnoza i szybka naprawa.",
Carsed Siedlce,Patryk Zając,5,19.05.2026 08:00,Emil Marczuk,"Rozmawiałem z Marczukiem telefonicznie przed wizytą. Opisałem problem, a on od razu wiedział co sprawdzić i zamówił część z wyprzedzeniem. Przez to cała wizyta zajęła może godzinę. Tak się powinno pracować.",
Škoda - CARSED Siedlce,Elżbieta Nowicka,5,22.01.2026 13:00,Maciej Rostek,"Byłam z córką wybrać jej pierwsze auto. Pan Maciej Rostek miał do niej nieskończoną cierpliwość, odpowiedział na setki pytań i nie zirytował się ani razu. Ostatecznie kupiła Fabię i jest zachwycona. Dziękujemy!",
Škoda - CARSED Siedlce,Tomasz Bąk,5,01.02.2026 16:30,Jan Cielemęcki,"Cielemęcki pomógł mi zdecydować między Octavią a Superbem. Dokładnie omówił różnice, zaproponował jazdę próbną oboma modelami i w żadnym momencie nie czułem presji. Kupiłem Superba i nie żałuję ani złotówki.",
Škoda - CARSED Siedlce,Karolina Błaszczyk,5,09.02.2026 10:15,Maciej Rostek,"Drugi samochód kupuję przez Macieja Rostka i po raz kolejny jestem zachwycona. Pamięta moje poprzednie auto, zna moje preferencje i za każdym razem trafia w sedno. Polecam go wszystkim znajomym.",
Škoda - CARSED Siedlce,Andrzej Adamczyk,5,28.02.2026 17:00,Jan Cielemęcki,"Bardzo sprawna obsługa przy odbiorze auta. Rozmawiałem z Janem Cielemęckim – wszystko omówione rzetelnie, dokumenty w porządku, auto bez żadnych usterek. Miłe doświadczenie od początku do końca.",
Carsed Siedlce,Renata Michalak,5,07.03.2026 11:30,Karol Lipiecki,"Z Karolem Lipieckim mam kontakt od trzech lat i zawsze jest tak samo – profesjonalnie, na czas i bez zaskoczeń. To właśnie tej stałości szukam w serwisie. Gorąco polecam CARSED i szczególnie Pana Karola.",
Carsed Siedlce,Maciej Lis,5,21.03.2026 14:00,Emil Marczuk,"Poleciła mi CARSED koleżanka z pracy i trafiłem do Emila Marczuka. Miła atmosfera, sprawna komunikacja. Pan Emil zaproponował też kilka rzeczy do sprawdzenia przy okazji – nie natrętnie, tylko żeby być transparentnym. Doceniam takie podejście.",
Škoda - CARSED Siedlce,Jolanta Borkowska,5,05.04.2026 09:45,Maciej Rostek,"Zakup samochodu z pomocą Macieja Rostka to czysta przyjemność. Rostek zna ofertę na wylot i potrafi dobrać auto do potrzeb klienta, a nie klienta do oferty. Żadnego nacisku, zero ściemy. Polecam.",
Škoda - CARSED Siedlce,Norbert Okoń,5,13.04.2026 15:30,Jan Cielemęcki,Bardzo dziękuję Panu Janowi Cielemęckiemu za cierpliwość podczas naszych kilku spotkań. Byłem wymagającym klientem z dużą listą oczekiwań. Cielemęcki podszedł do każdego punktu z zaangażowaniem i znalazł auto spełniające wszystkie kryteria.,
Carsed Siedlce,Edyta Kasprzak,5,20.04.2026 10:00,Karol Lipiecki,"Serwis na najwyższym poziomie. Pan Karol Lipiecki jest nie tylko kompetentny, ale też po ludzku sympatyczny. Przyjemnie jest oddać auto do serwisu i wiedzieć, że jest w dobrych rękach. Polecam wszystkim w Siedlcach i okolicach.",
Carsed Siedlce,Hubert Malinowski,4,27.04.2026 13:45,Emil Marczuk,"Dobra wizyta, problem rozwiązany. Marczuk był pomocny i konkretny. Jedyne co – ciężko było dodzwonić się żeby umówić termin, ale jak już trafiłem do serwisu, wszystko poszło sprawnie.",
Škoda - CARSED Siedlce,Wioletta Szczepańska,5,04.05.2026 11:00,Maciej Rostek,"Kupiłam Skodę Enyaq przez Pana Macieja Rostka. To był mój pierwszy samochód elektryczny i miałam dużo pytań. Rostek odpowiedział na każde z nich, pokazał jak działa ładowanie, skonfigurował aplikację i towarzyszył mi przez cały proces. Wzorowa obsługa.",
Škoda - CARSED Siedlce,Arkadiusz Piotrowicz,5,10.05.2026 16:00,Jan Cielemęcki,Polecam Pana Jana Cielemęckiego. Przy zakupie samochodu zaskoczył mnie wiedzą o dostępności poszczególnych konfiguracji i realnych terminach dostaw. Nie słyszałem od niego żadnych obietnic bez pokrycia. Profesjonalista.,
Carsed Siedlce,Bożena Rutkowska,5,15.05.2026 09:30,Karol Lipiecki,"Czwarta wizyta w CARSED, za każdym razem obsługuje mnie Pan Karol Lipiecki. Jest coś bardzo komfortowego w tym, że doradca pamięta historię twojego auta i nie trzeba za każdym razem tłumaczyć wszystkiego od nowa. Polecam całemu serwisowi.",
Carsed Siedlce,Łukasz Pietrzak,5,22.05.2026 14:00,Emil Marczuk,"Oddałem Leona do przeglądu i zostałem miło obsłużony przez Emila Marczuka. Pan Emil zwrócił uwagę na kilka rzeczy, których sam bym nie zauważył, i omówił co warto naprawić od razu, a co może poczekać. Rzetelne i uczciwe podejście.",
Škoda - CARSED Siedlce,Grażyna Kubiak,5,28.05.2026 10:30,Maciej Rostek,"Byłam sceptycznie nastawiona do zakupu auta przez salon, bo miałam złe doświadczenia gdzie indziej. Maciej Rostek zmienił moje podejście o sto osiemdziesiąt stopni. Spokojny, cierpliwy, nie wywiera presji. Polecam z całego serca.",
